japanese,english
hon,book
beddo,bed
tanjōby,birthday
tokei,"watch,clock"
namae,name
kirei/utsukushii,beautiful
kuroi,black
shiroi,white
eigo,english(language)
daigaku,university
denwa ,telephone
basu,bus
neko,cat
inu,dog
konpiuta,computer
fuku,clothes
koohii,coffee
pan,bread
biru,beer
hirogohan,lunch
yushoku,dinner
tabemono,food
nomi mono,beverage
kudamono,fruit
otoko no ko,boy
onna no ko,girl
kodomo ,"child, children"
haha/okaa-san,mother
chichi/otou-san,father
tomodachi,friend
kagusei,student
sensei,teacher
kawa,river
hana,flower
sakana,fish
sora,sky
yama,mountain
ame,rain
ima,now
kyou,today
kinou,yesterday
asita,tomorrow
mai nichi,everyday
maishu,every week
gozen,morning
gogo,afternoon
gersuyoubi,monday
kayoubi,tuesday
suiyoubi,wednesday
mokuyoubi,thursday
kinyoubi,friday
douyoubi,saturday
nichiyoubi,sunday
kotoshi,this year
mimi,ear
te,hand
ashi,foot
me,eye
kuchi,mouth
kao,face
eki ,train station
kita ,north
minami,south
nishi,west
higashi,east
kuni,country
gaikoku,gaikoku
mighi,right
hidari,left
iriguchi,entrance
deguchi,exit
ohayo gozaimasu,good morning
ohayou,good morning (informal version)
konnichi wa,hello
konban wa,good evening
tadaima,i'm home
oyasuminasai,good night(when going to bed)
moshi moshi,hello? (used when answering the phone)
irasshiaimase,welcome!
ogenki desu ka?,how are you?
oshashiburi desu,long time no see
sayounara,goodbye
matane,see you
hai,yes
iie,no
wakarimasen,i don't understand
wasuremashita ,i forgot
shirimasen,i don't know
tabun,maybe
daijoubu,alright
yoroshiku onegai shimasu,nice to meet you
doumo,thanks
onegai shimasu,please
doumo arigatou gozaimasu,thank you so much
sumimasen,excuse me/i'm sorry
gomennasai,i'm sorry
douita shimashite,you're welcome
douzo,after you
gomen nasai,i'm sorry
takukete kudasai,help!
ningen,human
jinrui,humanity
hito,person
otoko ,male
otokonokohito,man
onnanohito,women
akachan,baby
wakamono,"youth, young person"
watashi,"i,myself"
watakushi,"i,myself (most formal)"
boku,"i,myself (mainly used by males)"
ore,"i,myself (mainly used by males , informal)"
atashi,"i,myself (mainly used by females, softer sounding)"
shoujo,girl
shounen,boy
isha,doctor
kangoshi,nurse
enjinia,engineer
ashi,"foot, leg"
kakato,heel
sune,shin
hiza,knee
mom,thigh
atama,head
kuchi,mouth
ha,tooth
hana,nose
kami,hair
onaka,stomach
ude,arm
kazoku,family
ryoushin,parents
ani/oni-san,older brother
ane/one-san,older sister
ototo,younger brother
imoto,younger sister
shimai,sister
sofu/ojii-san,grandfather
mago,grandchild
oji/oji-san,uncle
oba/oba-san,aunt
bakemono,monster
dobutsu,animal
ushi,cow
saru ,monkey
nezumi,"rat, mouse"
ryu/tatsu,dragon
mushi,insect
ka,mosquito
shokubutsu,plants
ki ,tree
ringo,apple
gohan,cooked rice or meal
ryori ,cooking
dezato,dessert
aisukurimu,ice cream
cha,tea
mizu,water
shio,salt
jikan,time
hikoki,airplane
kuko/hikojo,airport
doro,road
iro,color
aka  ,red
kiiro,yellow
ongaku,music
rika ,science
rekishi,history
irai,request
ichi,one
ni,two
san,three
yon/shi,four
go,five
roku,six
nana/shichi,seven
hachi,eight
kyu/ku,nine
ju,ten
hyaku,hundred
sen,thousand
man,ten thousand
oku,one hundred million
kore,this/it
sore,that
are,that over there
dore,which
sugoi,amazing
kochira/kocchi,this direction/person/thing/place
sochira/socchi,that direction/person/thing/place
dochira/docchi,which direction/person/thing/place
subarashii,wonderful
warui,bad/inferior
takai,expensive/high
hikui,low
okii,big
chiisai,small
furui,old
atarashii,new
amai,sweet
karai,hot (spicy)
demo,but
shikashi,but/however
soreni,besides
